Name,Category,URL
"CNN","News","/thumbnails/cnn.png"
"BBC News","News","/thumbnails/bbc-news.png"
"Fox Weather","News","/thumbnails/fox-weather.png"
"Bloomberg TV","News","/thumbnails/bloomberg-tv.jpg"
"ABC 20/20","News","/thumbnails/abc-20-20.png"
"Newsmax","News",""
"NBC News Now","News","/thumbnails/nbc-news-now.png"
"CBS News","News","/thumbnails/cbs-news.jpg"
"ABC News Live","News","/thumbnails/abc-news-live.jpg"
"Live Now From Fox","News","/thumbnails/live-now-from-fox.jpg"
"Scripps News","News","/thumbnails/scripps-news.jpg"
"WeatherNation","News","/thumbnails/weathernation.jpg"
"OAN","News","/thumbnails/oan.jpg"
"Real Americas Voice","News","/thumbnails/real-americas-voice.png"
"Estrella News","News","/thumbnails/estrella-news.png"
"Pawn Stars","Entertainment","/thumbnails/pawn-stars.jpg"
"Storage Wars","Entertainment","/thumbnails/storage-wars.jpg"
"Dog the Bounty Hunter","Entertainment","/thumbnails/dog-the-bounty-hunter.jpg"
"Dance Moms","Entertainment","/thumbnails/dance-moms.jpg"
"Deal or No Deal","Entertainment","/thumbnails/deal-or-no-deal.jpg"
"Midsomer Murders","Entertainment","/thumbnails/midsomer-murders.jpg"
"Baywatch","Entertainment","/thumbnails/baywatch.jpg"
"Heartland","Entertainment","/thumbnails/heartland.jpg"
"Ion Television","Entertainment","/thumbnails/ion-television.png"
"Court TV","Entertainment",""
"Bounce TV","Entertainment","/thumbnails/bounce-tv.jpg"
"Law & Crime Network","Entertainment","/thumbnails/law-crime-network.jpg"
"Game Show Network","Entertainment","/thumbnails/game-show-network.png"
"Forged in Fire","Entertainment","/thumbnails/forged-in-fire.jpg"
"National Lampoon","Entertainment","/thumbnails/national-lampoon.jpg"
"Buzzr","Entertainment","/thumbnails/buzzr.png"
"Ancient Aliens","Documentary","/thumbnails/ancient-aliens.png"
"American Pickers","Documentary","/thumbnails/american-pickers.jpg"
"Forensic Files","Documentary","/thumbnails/forensic-files.jpg"
"The First 48","Documentary","/thumbnails/the-first-48.jpg"
"Cold Case Files","Documentary","/thumbnails/cold-case-files.jpg"
"Modern Marvels","Documentary","/thumbnails/modern-marvels.jpg"
"Dateline NBC","Documentary","/thumbnails/dateline-nbc.jpg"
"BBC Earth","Documentary","/thumbnails/bbc-earth.png"
"Mountain Men","Documentary","/thumbnails/mountain-men.jpg"
"Bondi Rescue","Documentary","/thumbnails/bondi-rescue.jpg"
"Kitchen Nightmares","Lifestyle","/thumbnails/kitchen-nightmares.jpg"
"Hell's Kitchen","Lifestyle","/thumbnails/hell-s-kitchen.jpg"
"America's Test Kitchen","Lifestyle","/thumbnails/america-s-test-kitchen.png"
"This Old House","Lifestyle","/thumbnails/this-old-house.jpg"
"Tiny House Nation","Lifestyle","/thumbnails/tiny-house-nation.jpg"
"The Pet Collective","Lifestyle","/thumbnails/the-pet-collective.jpg"
"Hallmark Movies","Movies","/thumbnails/hallmark-movies.png"
"Lifetime Movies","Movies","/thumbnails/lifetime-movies.jpg"
"Miramax","Movies","/thumbnails/miramax.jpg"
"NFL Network","Sports","/thumbnails/nfl-network.jpg"
"MLB Network","Sports","/thumbnails/mlb-network.jpg"
"Roku Sports Channel","Sports","/thumbnails/roku-sports-channel.jpg"
